Identyfikator projektu,Nazwa projektu,Identyfikator podmiotu,Rodzaj projektu,Koszt,Data rozpoczęcia,Data zakończenia,Identyfikator projektu architektonicznego,
86,WODOCIĄGOWY-2423,124,PRZECIWGROMOWY,48720,03/12/2010,03/12/2010,3024,
87,WODOCIĄGOWY-2288,53,PRZECIWGROMOWY,53235,18/04/2010,20/04/2010,2716,
88,WODOCIĄGOWY-8341,196,PRZECIWGROMOWY,30450,08/08/2010,17/08/2010,2811,
89,WODOCIĄGOWY-6572,67,GRZEWCZY,96800,09/11/2010,09/11/2010,2607,
90,WODOCIĄGOWY-8497,163,WODOCIĄGOWY,92180,25/04/2010,30/04/2010,1676,
91,WODOCIĄGOWY-5780,136,GRZEWCZY,70240,07/08/2010,16/08/2010,8505,
92,WODOCIĄGOWY-5460,46,OGRODNICZY,29275,19/05/2010,20/05/2010,8105,
93,WODOCIĄGOWY-2868,195,OGRODNICZY,23275,15/09/2010,24/09/2010,6579,
94,WODOCIĄGOWY-8968,17,GRZEWCZY,106640,18/12/2010,18/12/2010,9215,
95,WODOCIĄGOWY-5193,54,ALARMOWY,28850,09/08/2010,13/08/2010,6822,
96,WODOCIĄGOWY-2719,39,GRZEWCZY,158080,10/09/2010,10/09/2010,1411,
97,WODOCIĄGOWY-6996,114,GRZEWCZY,15360,16/11/2010,20/11/2010,81,
98,WODOCIĄGOWY-1616,1,ELEKTRYCZNY,117750,21/04/2010,29/04/2010,9989,
99,WODOCIĄGOWY-5943,56,ELEKTRYCZNY,7875,22/06/2010,01/07/2010,4701,
100,WODOCIĄGOWY-7307,158,ELEKTRYCZNY,9375,24/07/2010,27/07/2010,2317,
101,WODOCIĄGOWY-3838,39,ELEKTRYCZNY,38175,31/01/2010,31/01/2010,3886,
102,WODOCIĄGOWY-8533,146,PRZECIWGROMOWY,6895,04/08/2010,08/08/2010,6092,
103,WODOCIĄGOWY-4517,81,OGRODNICZY,42150,07/05/2010,10/05/2010,2229,
104,WODOCIĄGOWY-6245,171,OGRODNICZY,46550,15/12/2010,23/12/2010,9652,
105,WODOCIĄGOWY-9566,124,WODOCIĄGOWY,40810,28/09/2010,05/10/2010,5737,
106,WODOCIĄGOWY-8200,130,WODOCIĄGOWY,8085,21/02/2010,23/02/2010,4984,
107,WODOCIĄGOWY-8726,58,WODOCIĄGOWY,80795,31/03/2010,05/04/2010,2161,
108,WODOCIĄGOWY-3434,6,PRZECIWGROMOWY,33285,01/11/2010,06/11/2010,8098,
109,WODOCIĄGOWY-4681,72,WODOCIĄGOWY,103070,10/09/2010,16/09/2010,6523,
110,WODOCIĄGOWY-3800,83,OGRODNICZY,5675,13/11/2010,20/11/2010,2035,
111,WODOCIĄGOWY-2596,96,ELEKTRYCZNY,30000,04/11/2010,09/11/2010,8984,
112,WODOCIĄGOWY-1296,160,ELEKTRYCZNY,112725,30/05/2010,07/06/2010,8962,
113,WODOCIĄGOWY-1382,20,GRZEWCZY,69200,03/03/2010,05/03/2010,5957,
114,WODOCIĄGOWY-9165,139,ALARMOWY,42650,23/01/2010,30/01/2010,6164,
115,WODOCIĄGOWY-8711,54,OGRODNICZY,21650,27/08/2010,30/08/2010,2710,
116,WODOCIĄGOWY-8911,195,PRZECIWGROMOWY,60865,18/06/2010,18/06/2010,5101,
117,WODOCIĄGOWY-1403,75,ALARMOWY,450,31/07/2010,01/08/2010,1040,
118,WODOCIĄGOWY-7052,130,ALARMOWY,86650,08/12/2010,10/12/2010,4291,
119,WODOCIĄGOWY-542,15,OGRODNICZY,8700,20/07/2010,29/07/2010,749,
120,WODOCIĄGOWY-5054,49,WODOCIĄGOWY,56210,01/07/2010,10/07/2010,106,
121,WODOCIĄGOWY-8876,12,OGRODNICZY,38775,10/03/2010,19/03/2010,111,
122,WODOCIĄGOWY-4554,12,WODOCIĄGOWY,13805,17/05/2010,17/05/2010,5118,
123,WODOCIĄGOWY-4575,98,ALARMOWY,54500,27/01/2010,02/02/2010,7737,
124,WODOCIĄGOWY-3457,143,GRZEWCZY,59920,16/06/2010,23/06/2010,9837,
125,WODOCIĄGOWY-3668,193,OGRODNICZY,14550,26/11/2010,30/11/2010,7629,
126,WODOCIĄGOWY-341,21,ELEKTRYCZNY,120150,03/03/2010,09/03/2010,3559,
127,WODOCIĄGOWY-7688,162,ELEKTRYCZNY,140625,27/04/2010,27/04/2010,798,
128,WODOCIĄGOWY-7938,181,PRZECIWGROMOWY,63245,11/06/2010,12/06/2010,8920,
129,WODOCIĄGOWY-8355,161,ELEKTRYCZNY,63600,26/07/2010,02/08/2010,3008,
130,WODOCIĄGOWY-594,24,OGRODNICZY,9925,07/10/2010,13/10/2010,1356,
131,WODOCIĄGOWY-3036,53,GRZEWCZY,1120,04/05/2010,05/05/2010,7922,
132,WODOCIĄGOWY-6476,60,OGRODNICZY,23725,14/10/2010,21/10/2010,5878,
133,WODOCIĄGOWY-3771,104,WODOCIĄGOWY,47960,02/09/2010,10/09/2010,1118,
134,WODOCIĄGOWY-337,167,WODOCIĄGOWY,11440,11/04/2010,16/04/2010,5463,
135,WODOCIĄGOWY-507,31,ALARMOWY,81850,24/08/2010,02/09/2010,8631,
136,WODOCIĄGOWY-3559,114,WODOCIĄGOWY,69080,30/10/2010,31/10/2010,9559,
137,WODOCIĄGOWY-3016,190,OGRODNICZY,14700,03/09/2010,07/09/2010,3505,
138,WODOCIĄGOWY-992,167,GRZEWCZY,85520,14/02/2010,21/02/2010,4056,
139,WODOCIĄGOWY-3000,167,OGRODNICZY,27900,07/04/2010,16/04/2010,9687,
140,WODOCIĄGOWY-5985,20,GRZEWCZY,85840,15/09/2010,19/09/2010,267,
141,WODOCIĄGOWY-4277,180,WODOCIĄGOWY,52525,13/02/2010,21/02/2010,1188,
142,WODOCIĄGOWY-725,60,OGRODNICZY,38750,16/02/2010,21/02/2010,9358,
143,WODOCIĄGOWY-940,80,GRZEWCZY,104480,01/12/2010,06/12/2010,9169,
144,WODOCIĄGOWY-5430,57,GRZEWCZY,125200,01/05/2010,09/05/2010,8976,
145,WODOCIĄGOWY-910,104,GRZEWCZY,139120,13/09/2010,13/09/2010,4851,
146,WODOCIĄGOWY-5598,53,GRZEWCZY,27360,16/07/2010,23/07/2010,3526,
147,WODOCIĄGOWY-8109,178,ELEKTRYCZNY,141300,29/03/2010,31/03/2010,9436,
148,WODOCIĄGOWY-5219,148,GRZEWCZY,124960,21/05/2010,25/05/2010,4569,
149,WODOCIĄGOWY-6308,42,PRZECIWGROMOWY,43540,11/01/2010,11/01/2010,4748,
150,WODOCIĄGOWY-1988,50,WODOCIĄGOWY,72710,07/08/2010,08/08/2010,9483,
151,WODOCIĄGOWY-6426,28,ALARMOWY,52150,09/05/2010,14/05/2010,9445,
152,WODOCIĄGOWY-6258,121,ELEKTRYCZNY,114225,11/02/2010,17/02/2010,8527,
153,WODOCIĄGOWY-3523,156,OGRODNICZY,23925,09/01/2010,17/01/2010,121,
154,WODOCIĄGOWY-7698,25,PRZECIWGROMOWY,24185,08/08/2010,16/08/2010,7583,
155,WODOCIĄGOWY-7012,11,GRZEWCZY,14240,30/03/2010,04/04/2010,4092,
156,WODOCIĄGOWY-2375,92,OGRODNICZY,36375,07/08/2010,14/08/2010,9392,
157,WODOCIĄGOWY-3911,6,GRZEWCZY,12240,12/06/2010,18/06/2010,7818,
158,WODOCIĄGOWY-1131,178,ALARMOWY,86650,06/09/2010,11/09/2010,16,
159,WODOCIĄGOWY-3208,56,ALARMOWY,36650,26/09/2010,02/10/2010,3304,
160,WODOCIĄGOWY-4227,142,ELEKTRYCZNY,84525,18/04/2010,20/04/2010,3840,
161,WODOCIĄGOWY-8790,51,ALARMOWY,9750,02/12/2010,10/12/2010,6234,
162,WODOCIĄGOWY-7182,68,ALARMOWY,60450,25/07/2010,26/07/2010,3538,
163,WODOCIĄGOWY-9873,137,ELEKTRYCZNY,128250,04/02/2010,11/02/2010,8038,
164,WODOCIĄGOWY-8341,92,PRZECIWGROMOWY,34370,02/04/2010,10/04/2010,6294,
165,WODOCIĄGOWY-4188,132,OGRODNICZY,47175,08/08/2010,17/08/2010,4973,
166,WODOCIĄGOWY-3228,151,ALARMOWY,72500,23/06/2010,02/07/2010,3609,
167,WODOCIĄGOWY-4183,154,WODOCIĄGOWY,101420,17/09/2010,20/09/2010,8876,
168,WODOCIĄGOWY-6209,194,ALARMOWY,33350,17/03/2010,25/03/2010,1603,
169,WODOCIĄGOWY-3106,65,ELEKTRYCZNY,107550,11/04/2010,12/04/2010,478,
170,WODOCIĄGOWY-3815,26,WODOCIĄGOWY,46860,13/09/2010,14/09/2010,2908,
171,WODOCIĄGOWY-1213,154,ALARMOWY,26250,11/07/2010,13/07/2010,6427,
172,WODOCIĄGOWY-6410,85,ALARMOWY,9250,08/12/2010,14/12/2010,8799,
173,WODOCIĄGOWY-9740,177,OGRODNICZY,29200,10/06/2010,18/06/2010,5818,
174,WODOCIĄGOWY-2109,182,PRZECIWGROMOWY,18830,05/10/2010,13/10/2010,4843,
175,WODOCIĄGOWY-5985,113,ELEKTRYCZNY,38850,26/10/2010,30/10/2010,8885,
176,WODOCIĄGOWY-3119,37,GRZEWCZY,75600,24/01/2010,24/01/2010,4143,
177,WODOCIĄGOWY-6489,47,OGRODNICZY,40550,16/01/2010,18/01/2010,8269,
178,WODOCIĄGOWY-3673,137,OGRODNICZY,38725,01/07/2010,04/07/2010,6293,
179,WODOCIĄGOWY-3677,102,PRZECIWGROMOWY,56945,04/11/2010,04/11/2010,7909,
180,WODOCIĄGOWY-4903,64,WODOCIĄGOWY,10670,26/09/2010,30/09/2010,8027,
181,WODOCIĄGOWY-6137,59,ELEKTRYCZNY,132900,17/12/2010,21/12/2010,1533,
182,WODOCIĄGOWY-1552,149,GRZEWCZY,640,11/09/2010,11/09/2010,6281,
183,WODOCIĄGOWY-9547,36,ALARMOWY,87600,04/05/2010,10/05/2010,6953,
184,WODOCIĄGOWY-5772,1,WODOCIĄGOWY,62040,21/07/2010,30/07/2010,5771,
185,WODOCIĄGOWY-8673,5,PRZECIWGROMOWY,60830,05/07/2010,14/07/2010,8703,
186,WODOCIĄGOWY-3793,0,OGRODNICZY,48825,28/03/2010,30/03/2010,8438,
187,WODOCIĄGOWY-8009,49,OGRODNICZY,28050,29/12/2010,31/12/2010,9940,
188,WODOCIĄGOWY-9706,170,GRZEWCZY,5280,25/11/2010,27/11/2010,679,
189,WODOCIĄGOWY-3413,184,GRZEWCZY,104160,18/07/2010,25/07/2010,3771,
190,WODOCIĄGOWY-2142,183,PRZECIWGROMOWY,25130,25/10/2010,26/10/2010,7601,
191,WODOCIĄGOWY-53,143,ELEKTRYCZNY,45225,02/04/2010,09/04/2010,2052,
192,WODOCIĄGOWY-2133,186,ELEKTRYCZNY,55575,06/03/2010,07/03/2010,5718,
193,WODOCIĄGOWY-1091,34,ELEKTRYCZNY,85500,10/10/2010,16/10/2010,2465,
194,WODOCIĄGOWY-9812,130,WODOCIĄGOWY,70675,18/04/2010,26/04/2010,9308,
195,WODOCIĄGOWY-3225,94,OGRODNICZY,18750,31/12/2010,07/01/2011,1447,
196,WODOCIĄGOWY-9735,107,ELEKTRYCZNY,78450,16/06/2010,17/06/2010,1831,
197,WODOCIĄGOWY-6314,193,OGRODNICZY,48075,22/04/2010,24/04/2010,5266,
198,WODOCIĄGOWY-5630,68,GRZEWCZY,21600,25/11/2010,27/11/2010,9808,
199,WODOCIĄGOWY-2620,26,GRZEWCZY,95840,21/12/2010,30/12/2010,1439,
200,WODOCIĄGOWY-5793,80,ALARMOWY,68450,18/05/2010,26/05/2010,7335,
201,WODOCIĄGOWY-788,95,GRZEWCZY,36880,22/12/2010,23/12/2010,3106,
202,WODOCIĄGOWY-2436,172,ELEKTRYCZNY,88650,27/06/2010,29/06/2010,426,
203,WODOCIĄGOWY-9887,82,GRZEWCZY,53760,04/11/2010,04/11/2010,7214,
204,WODOCIĄGOWY-2250,115,PRZECIWGROMOWY,21350,18/10/2010,20/10/2010,1958,
205,WODOCIĄGOWY-1327,155,ALARMOWY,36750,26/08/2010,03/09/2010,1696,
206,WODOCIĄGOWY-6448,173,GRZEWCZY,61920,30/11/2010,01/12/2010,3101,
207,WODOCIĄGOWY-3841,177,WODOCIĄGOWY,107800,14/05/2010,14/05/2010,7505,
208,WODOCIĄGOWY-8543,87,ELEKTRYCZNY,1650,03/05/2010,12/05/2010,1171,
209,WODOCIĄGOWY-1235,139,ELEKTRYCZNY,78000,02/03/2010,02/03/2010,7261,
210,WODOCIĄGOWY-8924,104,OGRODNICZY,34000,11/04/2010,17/04/2010,5017,
211,WODOCIĄGOWY-4973,185,ELEKTRYCZNY,53325,12/06/2010,15/06/2010,2506,
212,WODOCIĄGOWY-6116,79,ALARMOWY,34250,31/08/2010,03/09/2010,8631,
213,WODOCIĄGOWY-1383,61,OGRODNICZY,11275,20/03/2010,20/03/2010,8444,
214,WODOCIĄGOWY-5101,5,OGRODNICZY,28600,17/12/2010,20/12/2010,4745,
215,WODOCIĄGOWY-9131,144,WODOCIĄGOWY,48840,25/11/2010,28/11/2010,2690,
216,WODOCIĄGOWY-3825,49,WODOCIĄGOWY,65505,23/02/2010,26/02/2010,7073,
217,WODOCIĄGOWY-4938,71,GRZEWCZY,115360,22/06/2010,28/06/2010,1914,
218,WODOCIĄGOWY-9385,145,PRZECIWGROMOWY,12040,22/11/2010,30/11/2010,6053,
219,WODOCIĄGOWY-4309,142,PRZECIWGROMOWY,61845,27/03/2010,31/03/2010,6738,
220,WODOCIĄGOWY-9457,166,PRZECIWGROMOWY,59885,02/04/2010,10/04/2010,2107,
221,WODOCIĄGOWY-7972,70,OGRODNICZY,21425,18/05/2010,18/05/2010,9751,
222,WODOCIĄGOWY-3822,73,GRZEWCZY,74640,08/10/2010,09/10/2010,4803,
223,WODOCIĄGOWY-6761,63,ELEKTRYCZNY,96525,07/01/2010,10/01/2010,1628,
224,WODOCIĄGOWY-7510,127,ELEKTRYCZNY,44250,08/04/2010,13/04/2010,7865,
225,WODOCIĄGOWY-8874,108,ALARMOWY,10900,17/12/2010,24/12/2010,8511,
226,WODOCIĄGOWY-1342,89,OGRODNICZY,45125,29/06/2010,05/07/2010,6186,
227,WODOCIĄGOWY-2930,41,GRZEWCZY,118080,16/04/2010,16/04/2010,6298,
228,WODOCIĄGOWY-6507,76,WODOCIĄGOWY,6600,27/05/2010,05/06/2010,1496,
229,WODOCIĄGOWY-6852,129,ELEKTRYCZNY,9075,28/04/2010,07/05/2010,6134,
230,WODOCIĄGOWY-9093,82,PRZECIWGROMOWY,28280,08/04/2010,13/04/2010,165,
231,WODOCIĄGOWY-1851,34,PRZECIWGROMOWY,47950,27/12/2010,28/12/2010,9385,
232,WODOCIĄGOWY-963,89,GRZEWCZY,98320,25/05/2010,01/06/2010,3079,
233,WODOCIĄGOWY-8695,12,ELEKTRYCZNY,60750,22/12/2010,23/12/2010,706,
234,WODOCIĄGOWY-7039,78,GRZEWCZY,101600,04/03/2010,06/03/2010,6745,
235,WODOCIĄGOWY-6786,77,GRZEWCZY,133840,14/09/2010,15/09/2010,2814,
236,WODOCIĄGOWY-1523,3,OGRODNICZY,2350,27/11/2010,29/11/2010,7629,
237,WODOCIĄGOWY-7894,133,WODOCIĄGOWY,990,09/06/2010,15/06/2010,4852,
238,WODOCIĄGOWY-7076,179,GRZEWCZY,16800,10/12/2010,10/12/2010,5491,
239,WODOCIĄGOWY-8438,99,PRZECIWGROMOWY,29645,15/06/2010,20/06/2010,4467,
240,WODOCIĄGOWY-947,105,GRZEWCZY,143200,31/10/2010,04/11/2010,2344,
241,WODOCIĄGOWY-1320,166,GRZEWCZY,10640,25/04/2010,01/05/2010,5200,
242,WODOCIĄGOWY-9655,145,ELEKTRYCZNY,6000,19/12/2010,21/12/2010,1745,
243,WODOCIĄGOWY-3363,51,ALARMOWY,88700,23/04/2010,27/04/2010,1044,
244,WODOCIĄGOWY-2207,196,PRZECIWGROMOWY,9555,20/09/2010,29/09/2010,6157,
245,WODOCIĄGOWY-2237,44,ELEKTRYCZNY,114075,08/09/2010,10/09/2010,2102,
246,WODOCIĄGOWY-8290,5,OGRODNICZY,19100,14/04/2010,21/04/2010,1152,
247,WODOCIĄGOWY-9496,159,ELEKTRYCZNY,35025,14/06/2010,15/06/2010,6943,
248,WODOCIĄGOWY-7396,161,PRZECIWGROMOWY,42700,10/05/2010,17/05/2010,8948,
249,WODOCIĄGOWY-1209,6,ELEKTRYCZNY,39900,15/01/2010,22/01/2010,458,
250,WODOCIĄGOWY-3061,19,PRZECIWGROMOWY,20475,28/03/2010,01/04/2010,2960,
251,WODOCIĄGOWY-9171,79,ALARMOWY,56000,15/07/2010,18/07/2010,6427,
252,WODOCIĄGOWY-2362,92,ELEKTRYCZNY,99825,02/08/2010,03/08/2010,3584,
253,WODOCIĄGOWY-2951,120,GRZEWCZY,144480,12/02/2010,19/02/2010,7810,
254,WODOCIĄGOWY-5231,192,ALARMOWY,98600,20/02/2010,22/02/2010,9628,
255,WODOCIĄGOWY-8863,50,ELEKTRYCZNY,113700,17/11/2010,17/11/2010,6600,
256,WODOCIĄGOWY-5991,23,ELEKTRYCZNY,118425,24/11/2010,25/11/2010,9367,
257,WODOCIĄGOWY-706,97,OGRODNICZY,45025,15/01/2010,20/01/2010,4109,
258,WODOCIĄGOWY-7678,20,PRZECIWGROMOWY,62300,28/03/2010,06/04/2010,8946,
259,WODOCIĄGOWY-3875,116,WODOCIĄGOWY,41030,17/04/2010,25/04/2010,9955,
260,WODOCIĄGOWY-1824,162,ALARMOWY,81450,17/10/2010,19/10/2010,3420,
261,WODOCIĄGOWY-5000,138,OGRODNICZY,13225,29/09/2010,01/10/2010,4488,
262,WODOCIĄGOWY-3208,11,WODOCIĄGOWY,23760,11/04/2010,19/04/2010,1804,
263,WODOCIĄGOWY-3026,146,OGRODNICZY,37150,23/01/2010,28/01/2010,2732,
264,WODOCIĄGOWY-8214,137,ELEKTRYCZNY,147750,28/07/2010,29/07/2010,3209,
265,WODOCIĄGOWY-2053,148,WODOCIĄGOWY,48730,04/07/2010,10/07/2010,7734,
266,WODOCIĄGOWY-9737,82,ALARMOWY,27700,19/07/2010,20/07/2010,8510,
267,WODOCIĄGOWY-5783,27,ELEKTRYCZNY,107925,28/10/2010,01/11/2010,2003,
268,WODOCIĄGOWY-2027,24,PRZECIWGROMOWY,67445,07/05/2010,11/05/2010,8844,
269,WODOCIĄGOWY-1181,142,PRZECIWGROMOWY,24885,01/10/2010,05/10/2010,4762,
270,WODOCIĄGOWY-3960,100,ALARMOWY,90550,05/05/2010,10/05/2010,9440,
271,WODOCIĄGOWY-187,130,PRZECIWGROMOWY,41615,11/05/2010,13/05/2010,2964,
272,WODOCIĄGOWY-8146,191,OGRODNICZY,25575,27/04/2010,03/05/2010,3221,
273,WODOCIĄGOWY-4477,199,ELEKTRYCZNY,148650,16/08/2010,18/08/2010,2849,
274,WODOCIĄGOWY-2683,40,WODOCIĄGOWY,24475,04/12/2010,08/12/2010,6175,
